Description,Date,Credit,Debit
701-3063547-7178656,01/09/2021,8.99,
702-1183312-2889044,01/09/2021,7.99,
702-0303686-2845844,30/08/2021,9.99,
701-8480389-7459413,30/08/2021,13.99,
702-9899847-2465836,29/08/2021,8.99,
702-6251372-7838636,29/08/2021,17.98,
702-5134734-5818653,29/08/2021,8.99,
702-8169529-7013043,29/08/2021,15.98,
702-8169529-7013043,29/08/2021,31.96,
702-8169529-7013043,29/08/2021,15.98,
702-4118537-1813832,29/08/2021,23.97,
702-2960676-8709816,29/08/2021,17.98,
702-1592667-5465039,28/08/2021,8.99,
702-7862513-8384216,28/08/2021,19.99,
701-1977760-9082646,28/08/2021,6.99,
701-4497534-9685026,28/08/2021,20.97,
702-0162478-6815462,27/08/2021,6.99,
702-6624190-8138651,26/08/2021,10.48,
701-9522690-5160210,26/08/2021,8.99,
701-5157479-5381866,25/08/2021,8.99,
702-5395165-5221053,24/08/2021,8.99,
702-6670643-4781007,24/08/2021,17.99,
702-4932952-9109004,22/08/2021,10.48,
701-6713636-3559450,22/08/2021,8.99,
701-2891241-0848243,22/08/2021,18.47,
702-1644616-8733840,22/08/2021,7.99,
702-9867962-1133856,21/08/2021,10.48,
702-2460628-7168267,19/08/2021,15.99,
702-8986813-3517864,19/08/2021,7.99,
701-9799937-7209866,19/08/2021,8.99,
701-3179825-9430647,19/08/2021,8.99,
701-6404412-8205839,19/08/2021,8.99,
701-6404412-8205839,19/08/2021,8.99,
701-1169889-1257044,19/08/2021,8.99,
701-6331664-1890654,19/08/2021,10.48,
702-6874978-0005832,18/08/2021,11.98,
702-1916975-2084210,17/08/2021,8.99,
701-5605498-2441060,17/08/2021,8.99,
701-7705109-9829034,16/08/2021,8.99,
702-9265892-5005821,16/08/2021,7.99,
702-9265892-5005821,16/08/2021,7.99,
702-9800211-7236267,16/08/2021,15.98,
702-2227692-3651445,14/08/2021,8.99,
702-8325976-3264207,12/08/2021,9.99,
702-9330873-2459434,12/08/2021,8.99,
702-9330873-2459434,12/08/2021,8.99,
702-9330873-2459434,12/08/2021,8.99,
702-6244441-1709856,07/08/2021,9.23,
702-6244441-1709856,07/08/2021,9.24,
701-9477486-1058639,07/08/2021,15.99,
702-0686779-9742647,06/08/2021,8.99,
701-1465790-3593805,04/08/2021,8.99,
702-4044579-2069054,03/08/2021,11.04,
702-4044579-2069054,03/08/2021,11.05,
702-5485520-8826652,02/08/2021,8.99,
701-7441573-6511452,01/08/2021,7.99,
702-8816467-0461841,01/08/2021,12.99,
114-3035397-2194643,01/09/2021,7.99,
