Description,Date,Credit,Debit
702-4011203-7202640,30/12/2021,6.99,
701-4585518-9400201,29/12/2021,8.99,
701-4585518-9400201,29/12/2021,8.99,
702-5758310-9887418,28/12/2021,15.48,
701-7853396-2597845,27/12/2021,6.99,
701-9644327-8737856,23/12/2021,9.99,
701-1832137-9328225,22/12/2021,5.99,
702-8642022-3335460,22/12/2021,9.99,
701-1668663-9419416,20/12/2021,10.48,
701-1957584-2948251,20/12/2021,8.99,
702-2601998-3561014,20/12/2021,6.99,
702-7624258-1981017,19/12/2021,6.99,
702-7624258-1981017,19/12/2021,6.99,
701-0806012-3559443,18/12/2021,6.99,
701-2817338-7755404,17/12/2021,15.99,
702-4764529-5147464,16/12/2021,10.48,
701-4908221-7892247,16/12/2021,11.99,
701-6264425-0436269,15/12/2021,5.99,
702-2776562-6535420,15/12/2021,10.48,
701-8252790-1563431,15/12/2021,6.99,
701-0160724-6514645,15/12/2021,10.48,
701-4547622-5229864,14/12/2021,20.48,
701-3677813-7259461,14/12/2021,9.23,
701-3677813-7259461,14/12/2021,9.24,
702-9733380-8541869,14/12/2021,6.99,
701-8579808-6838635,13/12/2021,10.48,
702-9641347-6829848,12/12/2021,15.99,
701-0437943-8539458,12/12/2021,15.99,
702-9289274-6160237,12/12/2021,8.99,
701-1527239-5283406,10/12/2021,9.24,
701-1527239-5283406,10/12/2021,9.23,
702-1040271-7684248,10/12/2021,9.99,
702-4248764-9177056,10/12/2021,8.99,
702-4248764-9177056,10/12/2021,9.99,
701-7572318-3343441,09/12/2021,8.99,
702-6055253-3256268,09/12/2021,15.99,
702-9770099-1795454,08/12/2021,7.99,
702-5476470-4454665,08/12/2021,10.48,
702-9372390-8653017,08/12/2021,17.98,
702-9372390-8653017,08/12/2021,8.99,
702-6168070-7921800,07/12/2021,8.99,
701-8642502-8432246,07/12/2021,8.61,
701-8642502-8432246,07/12/2021,8.61,
701-8642502-8432246,07/12/2021,8.61,
701-8642502-8432246,07/12/2021,8.62,
701-1386373-6457029,07/12/2021,7.99,
701-1386373-6457029,07/12/2021,6.99,
701-3800275-4431436,07/12/2021,15.99,
702-8124948-7037067,06/12/2021,10.48,
702-9550513-5841056,06/12/2021,8.99,
701-2499364-1865063,06/12/2021,10.48,
701-9023338-0916247,05/12/2021,10.48,
702-4688343-4444218,05/12/2021,15.48,
701-4916895-6663469,05/12/2021,8.99,
701-4804874-0055411,04/12/2021,10.48,
702-8614140-0351459,04/12/2021,15.99,
702-8297115-0889035,04/12/2021,8.99,
702-8592742-2684255,04/12/2021,8.99,
701-6269602-6748208,03/12/2021,18.99,
702-9938917-8261009,02/12/2021,9.99,
701-6347668-3516236,02/12/2021,8.99,
701-4379118-5961801,01/12/2021,8.99,
111-0312222-1194617,01/01/2022,7.99,
111-7113637-4509029,01/01/2022,6.99,
114-0127808-3390677,30/12/2021,6.99,
111-1583368-4743412,29/12/2021,7.99,
112-8045902-0486606,29/12/2021,21.98,
111-2965195-2385831,27/12/2021,6.99,
