Description,Date,Credit,Debit
702-7349455-6360221,01/11/2021,8.99,
702-7349455-6360221,01/11/2021,8.99,
701-3917109-7889830,30/10/2021,10.48,
701-8216012-1721818,28/10/2021,8.99,
702-8320354-0371423,26/10/2021,6.99,
701-8923404-0372233,26/10/2021,7.99,
701-8923404-0372233,26/10/2021,7.99,
702-5863289-6797016,26/10/2021,6.99,
701-0507646-1788202,25/10/2021,20.48,
702-8033635-4517816,22/10/2021,9.99,
702-8033635-4517816,22/10/2021,9.99,
702-7644545-5533055,22/10/2021,7.99,
702-6098399-7563418,21/10/2021,15.48,
701-9890583-5842657,21/10/2021,9.99,
702-8751107-0823455,19/10/2021,6.99,
702-4699235-0514626,19/10/2021,9.23,
702-4699235-0514626,19/10/2021,9.24,
701-0050965-5900222,19/10/2021,5.99,
702-9039660-8001802,18/10/2021,6.99,
701-4444102-9746601,17/10/2021,19.99,
701-5703784-1537817,17/10/2021,6.99,
702-6858830-1649866,17/10/2021,5.99,
701-9202098-0672245,17/10/2021,19.99,
701-1107024-6921807,13/10/2021,15.48,
702-9838946-8357858,13/10/2021,10.48,
702-4500240-9486636,11/10/2021,6.99,
701-3246355-4290645,11/10/2021,15.99,
702-8070984-4969805,10/10/2021,15.99,
702-6509275-5046631,09/10/2021,17.98,
702-3881488-2817065,09/10/2021,7.99,
702-3881488-2817065,09/10/2021,8.99,
702-7708947-1860239,08/10/2021,5.99,
702-5137289-3231419,08/10/2021,6.99,
701-1383527-3316250,08/10/2021,15.99,
701-8477473-4121832,06/10/2021,15.99,
701-3460175-2182640,06/10/2021,5.99,
701-4536409-7565847,06/10/2021,13.99,
701-7529612-4721803,06/10/2021,13.99,
702-8792878-1341836,04/10/2021,7.99,
701-0536001-3395410,03/10/2021,5.99,
701-0536001-3395410,03/10/2021,5.99,
701-0536001-3395410,03/10/2021,5.99,
702-2529820-2187441,02/10/2021,6.99,
701-5704489-4076224,02/10/2021,8.99,
701-8765329-4919413,02/10/2021,15.99,
701-5834892-3116249,01/10/2021,7.99,
701-4852353-9992264,01/10/2021,13.99,
701-4852353-9992264,01/10/2021,7.99,
701-3307154-9053028,01/10/2021,8.99,
702-1526606-7623445,01/10/2021,5.99,
112-9902945-0373866,01/11/2021,13.99,
111-2658989-6029824,31/10/2021,6.99,
112-4153484-9765859,31/10/2021,7.99,
111-0582569-6437834,31/10/2021,7.99,
113-2842800-9297022,31/10/2021,7.99,
111-5460207-4591427,31/10/2021,13.98,
112-1459095-2983463,30/10/2021,7.99,
113-8328513-4029004,30/10/2021,7.99,
112-9924003-2553801,29/10/2021,7.99,
114-4670480-0441858,29/10/2021,7.99,
111-7609697-9082654,29/10/2021,7.99,
112-2583924-4847468,28/10/2021,13.99,
113-9439635-6653810,28/10/2021,7.99,
113-9439635-6653810,28/10/2021,7.99,
111-5849566-7329815,28/10/2021,13.98,
114-1020330-6494602,28/10/2021,6.99,
